zip_code,has_tj,tj_probability,rank
92587,0,0.2084,802
93561,0,0.2071,803
95946,0,0.2068,804
94592,0,0.2015,805
92395,0,0.201,806
95949,0,0.2005,807
92557,0,0.2003,808
92595,0,0.1991,809
92308,0,0.1986,810
95503,0,0.1981,811
90813,0,0.1979,812
94956,0,0.1978,813
94005,0,0.1972,814
96126,0,0.1968,815
92307,0,0.1962,816
95612,0,0.1962,817
95655,0,0.1961,818
95521,0,0.195,819
95345,0,0.1948,820
93550,0,0.1945,821
91402,0,0.1945,822
96001,0,0.194,823
93427,0,0.1931,824
94970,0,0.193,825
94514,0,0.1928,826
95380,0,0.1925,827
93022,0,0.1922,828
91125,0,0.1902,829
94027,0,0.1894,830
91040,0,0.1894,831
92504,0,0.1891,832
95370,0,0.1884,833
93245,0,0.1878,834
95361,0,0.1874,835
90745,0,0.1869,836
94038,0,0.186,837
93740,0,0.1847,838
91767,0,0.1838,839
94603,0,0.1836,840
92320,0,0.183,841
93442,0,0.183,842
95815,0,0.183,843
95620,0,0.1827,844
95602,0,0.1814,845
94548,0,0.1804,846
95045,0,0.1803,847
92135,0,0.1783,848
90006,0,0.1781,849
93454,1,0.1778,850
91901,0,0.1777,851
95330,0,0.1768,852
95450,0,0.1753,853
95675,0,0.1739,854
93962,0,0.1736,855
92585,0,0.1734,856
93257,0,0.1727,857
94111,0,0.172,858
90305,0,0.1718,859
92404,0,0.1715,860
95436,0,0.1705,861
93314,0,0.1692,862
93292,0,0.1675,863
95501,0,0.1667,864
90044,0,0.1666,865
92284,0,0.1661,866
95366,0,0.1656,867
93313,0,0.1655,868
92802,0,0.1654,869
92145,0,0.1639,870
92392,0,0.1626,871
96080,0,0.1626,872
95204,0,0.1613,873
90806,0,0.161,874
93274,0,0.1603,875
94586,0,0.1599,876
95838,0,0.1593,877
90240,0,0.1578,878
95519,0,0.1576,879
94963,0,0.1566,880
96121,0,0.1558,881
95482,0,0.155,882
93306,0,0.1549,883
92861,0,0.1544,884
94572,0,0.1531,885
93907,0,0.153,886
95901,0,0.1524,887
94931,0,0.1514,888
93030,0,0.1505,889
93726,0,0.1505,890
95017,0,0.1502,891
93042,0,0.1474,892
90670,0,0.1471,893
93514,0,0.1465,894
90014,0,0.1465,895
93428,0,0.1464,896
91732,0,0.146,897
94929,0,0.1452,898
95006,0,0.1452,899
91384,0,0.1448,900
92407,0,0.1446,901
93067,0,0.1444,902
93246,0,0.1443,903
91723,0,0.1437,904
95122,0,0.1435,905
94957,0,0.1428,906
92134,0,0.1424,907
92543,0,0.1422,908
95830,0,0.1416,909
95246,0,0.1395,910
91763,0,0.1391,911
91706,0,0.1379,912
95550,0,0.1377,913
91352,0,0.1371,914
90602,0,0.137,915
92843,0,0.1369,916
93015,0,0.1363,917
90031,0,0.1356,918
90660,0,0.1344,919
95632,0,0.134,920
94134,0,0.134,921
90742,0,0.1339,922
95210,0,0.1334,923
92369,0,0.1327,924
95467,0,0.1321,925
94508,0,0.1314,926
92313,0,0.1308,927
93460,0,0.13,928
96145,0,0.1292,929
92582,0,0.1287,930
94576,0,0.1286,931
92140,0,0.1281,932
95966,0,0.128,933
90605,0,0.1275,934
95224,0,0.1275,935
94574,0,0.1271,936
95368,0,0.1265,937
95660,0,0.126,938
95064,0,0.1259,939
92860,0,0.1252,940
90007,0,0.1232,941
93432,0,0.1226,942
94108,0,0.1217,943
90723,0,0.1213,944
95348,0,0.1211,945
94567,0,0.1211,946
90057,0,0.1208,947
91752,0,0.1196,948
93410,0,0.1195,949
95354,0,0.119,950
95357,0,0.1189,951
94571,0,0.1188,952
93463,0,0.1181,953
95379,0,0.118,954
92706,0,0.1179,955
95962,0,0.117,956
94525,0,0.1169,957
92501,0,0.1164,958
91008,0,0.1158,959
92278,0,0.1154,960
94563,0,0.1144,961
90303,0,0.1142,962
92344,0,0.1141,963
93908,0,0.1134,964
92270,0,0.1126,965
93651,0,0.1126,966
93060,0,0.1125,967
91935,0,0.1112,968
95340,0,0.1105,969
90822,0,0.1091,970
92305,0,0.1089,971
90032,0,0.1086,972
95075,0,0.1085,973
95465,0,0.1084,974
95570,0,0.1078,975
92337,0,0.1076,976
90062,0,0.1072,977
95301,0,0.1069,978
94599,0,0.1068,979
95460,0,0.1066,980
95672,0,0.1052,981
92661,0,0.1042,982
95605,0,0.1041,983
93271,0,0.1039,984
95531,0,0.1038,985
91345,0,0.1038,986
96067,0,0.1037,987
95461,0,0.1032,988
92376,0,0.1031,989
95469,0,0.1029,990
95437,0,0.1029,991
94020,0,0.1028,992
93304,0,0.1025,993
92179,0,0.1019,994
95252,0,0.1018,995
96007,0,0.1007,996
94951,0,0.0996,997
94964,0,0.0995,998
92317,0,0.0993,999
95671,0,0.0991,1000
94973,0,0.0987,1001
95456,0,0.0984,1002
92518,0,0.0979,1003
95636,0,0.0976,1004
95651,0,0.0976,1005
92003,0,0.0976,1006
91731,0,0.0971,1007
95619,0,0.0967,1008
94515,0,0.0965,1009
95253,0,0.096,1010
93705,0,0.0955,1011
90077,0,0.0946,1012
95961,0,0.0946,1013
91046,0,0.0945,1014
92655,0,0.0944,1015
94946,0,0.094,1016
94801,0,0.0934,1017
95046,0,0.0921,1018
93265,0,0.0917,1019
95824,0,0.0917,1020
93409,0,0.0915,1021
92342,0,0.0908,1022
90810,0,0.0901,1023
93723,0,0.0898,1024
94937,0,0.0898,1025
95693,0,0.0893,1026
90704,0,0.0893,1027
95316,0,0.0885,1028
93628,0,0.0884,1029
92405,0,0.0884,1030
92061,0,0.0879,1031
