total_population,median_age,median_household_income,per_capita_income,population_below_poverty,bachelors_degree_holders,masters_degree_holders,doctorate_holders,education_population_base,white_alone,black_alone,asian_alone,hispanic_or_latino,median_gross_rent,median_home_value,occupied_housing_units,total_housing_units,total_commuters,public_transit_commuters,total_households,labor_force,unemployed,zip,pct_bachelors_plus,poverty_rate,diversity_index,pct_transit_commuters,housing_occupancy_rate,pct_hispanic,income_rent_ratio,unemployment_rate
48170.0,39.2,87339.0,79934.0,5613.0,17768.0,5282.0,1292.0,42309.0,34073.0,2654.0,3348.0,7432.0,2071.0,1389100.0,28346.0,31405.0,30679.0,1344.0,28346.0,34716.0,2900.0,90046,0.5753385804438772,0.11652480797176666,0.45303356741452616,0.04380846833338766,0.9025951281643051,0.15428690056051483,3.5143650410429745,0.0835349694665284
52200.0,37.4,67018.0,30203.0,9052.0,4418.0,1586.0,133.0,35741.0,6904.0,27004.0,491.0,21532.0,1471.0,612200.0,17202.0,17989.0,22275.0,1037.0,17202.0,25260.0,2189.0,90047,0.1717075627430682,0.17340996168582376,0.6033760975153055,0.04655443322109989,0.95625104230363,0.41249042145593867,3.796623612055291,0.08665874901029295
20411.0,39.3,102244.0,98449.0,2306.0,7690.0,2377.0,567.0,17591.0,15644.0,819.0,1474.0,1629.0,2284.0,1694500.0,11564.0,13755.0,12187.0,157.0,11564.0,13538.0,900.0,90048,0.6045136717639702,0.11297829601685366,0.3463602941679692,0.012882579798145565,0.8407124681933842,0.0798099064230072,3.7304436660828957,0.06647953907519574
35819.0,39.4,161605.0,126563.0,2025.0,10800.0,5050.0,1440.0,26944.0,28337.0,528.0,3003.0,2932.0,2827.0,2000001.0,16151.0,18321.0,19438.0,297.0,16151.0,20664.0,835.0,90049,0.6417013064133017,0.05653424160361819,0.32217021237944266,0.015279349727338203,0.8815566835871405,0.08185599821323879,4.763736587666549,0.0404084397986837
8225.0,42.7,123457.0,70503.0,595.0,2113.0,995.0,152.0,6104.0,1106.0,5285.0,361.0,920.0,2245.0,1358200.0,3432.0,3644.0,3890.0,75.0,3432.0,4368.0,166.0,90056,0.5340760157273918,0.07234042553191489,0.48808367384995455,0.019280205655526992,0.9418221734357849,0.11185410334346504,4.582665181885672,0.038003663003663
47142.0,34.2,46513.0,22523.0,12733.0,5667.0,1272.0,82.0,32297.0,10477.0,3173.0,8414.0,32128.0,1369.0,625000.0,16986.0,18087.0,23611.0,8364.0,16986.0,25900.0,1733.0,90057,0.21738861194538192,0.2700988502821263,0.5836112308888455,0.3542416670196095,0.9391275501741583,0.681515421492512,2.831324567811054,0.06691119691119692
3049.0,29.7,34093.0,19057.0,876.0,353.0,50.0,0.0,1821.0,1333.0,504.0,15.0,2110.0,941.0,457500.0,1039.0,1130.0,1507.0,209.0,1039.0,1601.0,76.0,90058,0.2213069741900055,0.28730731387340114,0.5869881746353101,0.1386861313868613,0.9194690265486726,0.6920301738274844,3.019217144881332,0.047470331043098064
39471.0,30.4,50939.0,19658.0,9285.0,1824.0,737.0,39.0,23175.0,8303.0,10320.0,209.0,27628.0,1248.0,486500.0,10351.0,10701.0,14002.0,834.0,10351.0,17039.0,2429.0,90059,0.1121898597626753,0.23523599604773124,0.5650782809943575,0.05956291958291673,0.9672927763760396,0.6999569304046008,3.401375534188034,0.14255531427900697
28646.0,32.3,56837.0,22274.0,6697.0,1615.0,373.0,35.0,17743.0,6444.0,7639.0,240.0,19869.0,1393.0,513300.0,7666.0,8177.0,11552.0,755.0,7666.0,12991.0,980.0,90061,0.11401679535591501,0.23378482161558334,0.5768392458513886,0.06535664819944598,0.9375076433899964,0.6936046917545207,3.4001555396027756,0.07543684088984681
33528.0,37.6,61422.0,27334.0,5222.0,2628.0,790.0,113.0,23256.0,7282.0,9036.0,772.0,21555.0,1451.0,632300.0,9802.0,10241.0,15312.0,1358.0,9802.0,17140.0,1267.0,90062,0.15183178534571723,0.15575041756144117,0.5983150138620769,0.08868861024033438,0.9571330924714383,0.6428954903364352,3.527567195037905,0.07392065344224037
52008.0,33.4,69307.0,22385.0,8432.0,3172.0,870.0,30.0,33986.0,12495.0,302.0,971.0,48835.0,1404.0,587000.0,13529.0,14313.0,23570.0,1784.0,13529.0,26121.0,1904.0,90063,0.11981404107573707,0.16212890324565452,0.35138343027415253,0.07568943572337718,0.9452246209739398,0.9389901553607137,4.11366334283001,0.07289154320278703
25956.0,40.1,123929.0,89040.0,1883.0,7417.0,3534.0,986.0,19824.0,16009.0,619.0,4902.0,3737.0,2554.0,1655300.0,11414.0,12545.0,13944.0,479.0,11414.0,14869.0,711.0,90064,0.6021489104116223,0.07254584681769148,0.5384458192778091,0.0343516924842226,0.9098445595854923,0.14397441824626292,4.043624380057426,0.047817607102024345
44897.0,38.7,88329.0,49880.0,6010.0,8382.0,3473.0,614.0,33702.0,17169.0,817.0,6643.0,23264.0,1709.0,959500.0,16200.0,17095.0,23233.0,1257.0,16200.0,26452.0,1905.0,90065,0.3699780428461219,0.1338619506871283,0.6160046881593307,0.05410407609865278,0.9476455103831529,0.5181637971356661,4.307050906963136,0.07201723877211554
54142.0,39.3,100344.0,69109.0,3765.0,14849.0,5937.0,1547.0,42371.0,31481.0,2639.0,7989.0,13822.0,2082.0,1519200.0,24679.0,26153.0,30740.0,1133.0,24679.0,32894.0,1728.0,90066,0.5270822024497888,0.06953935946215507,0.5994953187583393,0.03685751463890696,0.9436393530378924,0.255291640500905,4.016330451488953,0.052532376725238646
2653.0,59.7,125995.0,135876.0,176.0,785.0,220.0,93.0,2252.0,1825.0,61.0,473.0,166.0,3501.0,1529200.0,1719.0,2250.0,1121.0,22.0,1719.0,1238.0,76.0,90067,0.48756660746003555,0.06633999246136449,0.4376032153710421,0.019625334522747548,0.764,0.06257067470787787,2.999024088355708,0.061389337641357025
21064.0,42.0,97151.0,97971.0,2126.0,7290.0,2610.0,592.0,18020.0,16010.0,1419.0,1281.0,2521.0,2107.0,1724100.0,11740.0,14527.0,12999.0,310.0,11740.0,14649.0,1119.0,90068,0.5822419533851276,0.10093049753133308,0.4091472092330811,0.02384798830679283,0.80815034074482,0.11968287124952526,3.842390444549913,0.0763874667212779
20045.0,44.0,106133.0,113021.0,2188.0,7959.0,2882.0,458.0,17997.0,16365.0,521.0,1220.0,1565.0,2183.0,1026300.0,13004.0,15102.0,12984.0,348.0,13004.0,14567.0,1144.0,90069,0.6278268600322275,0.10915440259416313,0.2970060018957418,0.026802218114602587,0.8610780029135214,0.07807433275130955,4.051496411665903,0.07853367199835244
313.0,40.6,,8682.0,269.0,0.0,0.0,0.0,313.0,52.0,87.0,0.0,138.0,,,8.0,8.0,87.0,44.0,8.0,173.0,86.0,90071,0.0,0.8594249201277955,0.6179149995438491,0.5057471264367817,1.0,0.44089456869009586,,0.49710982658959535
1014.0,62.8,,13403.0,548.0,61.0,1.0,3.0,995.0,583.0,165.0,59.0,226.0,,,0.0,11.0,97.0,34.0,0.0,119.0,22.0,90073,0.06532663316582915,0.5404339250493096,0.6048398962035969,0.35051546391752575,0.0,0.22287968441814596,,0.18487394957983194
7868.0,46.6,203194.0,145312.0,368.0,1629.0,983.0,423.0,5539.0,6262.0,180.0,539.0,467.0,2803.0,2000001.0,3001.0,3602.0,3412.0,26.0,3001.0,3843.0,317.0,90077,0.5479328398627911,0.04677173360447382,0.2833654908907992,0.0076201641266119575,0.8331482509716824,0.05935434672089476,6.040968010464978,0.08248763986468904
4164.0,19.6,,12857.0,13.0,61.0,30.0,5.0,133.0,1838.0,409.0,1091.0,653.0,,,6.0,18.0,1462.0,21.0,6.0,1662.0,162.0,90089,0.7218045112781954,0.003121998078770413,0.6759047747183105,0.014363885088919288,0.3333333333333333,0.1568203650336215,,0.09747292418772563
11891.0,36.7,156536.0,110599.0,706.0,3901.0,2657.0,524.0,9103.0,6968.0,889.0,2123.0,1733.0,3501.0,1258800.0,5903.0,6544.0,6749.0,19.0,5903.0,7305.0,300.0,90094,0.777985279578161,0.05937263476578925,0.585596964260246,0.002815231886205364,0.9020476772616137,0.14574047599024473,3.7259830524612014,0.04106776180698152
95134.0,31.8,53692.0,18363.0,22950.0,3467.0,416.0,21.0,58189.0,41638.0,1598.0,651.0,89297.0,1512.0,511100.0,24126.0,24670.0,40127.0,2078.0,24126.0,44251.0,3043.0,90201,0.0670917183660142,0.2412386738705405,0.4525500743752874,0.05178558078102026,0.977948925820835,0.9386444383711396,2.959215167548501,0.06876680752977334
19180.0,50.9,172285.0,138525.0,1744.0,4508.0,2261.0,844.0,14542.0,15927.0,320.0,1101.0,1145.0,3034.0,2000001.0,7893.0,9690.0,8266.0,60.0,7893.0,8687.0,371.0,90210,0.523518085545317,0.09092805005213764,0.2505799325759547,0.007258649891120251,0.8145510835913312,0.05969760166840459,4.7320643814546255,0.0427074939564867
9208.0,42.6,115025.0,79080.0,1037.0,2446.0,1014.0,129.0,6983.0,6234.0,209.0,1830.0,765.0,2494.0,2000001.0,3784.0,4330.0,4161.0,73.0,3784.0,4850.0,440.0,90211,0.5139624803093227,0.11261946133796699,0.4755422765407262,0.017543859649122806,0.8739030023094688,0.08307993049522154,3.843390804597701,0.09072164948453608
10881.0,47.1,101963.0,93130.0,1042.0,3368.0,1291.0,379.0,8727.0,8058.0,188.0,1394.0,911.0,2664.0,2000001.0,5483.0,6200.0,5547.0,204.0,5483.0,6294.0,699.0,90212,0.5772888736106336,0.09576325705357963,0.39150490649327807,0.03677663601946998,0.8843548387096775,0.08372392243359986,3.1895332832832834,0.11105815061963775
49101.0,34.4,69901.0,24250.0,9527.0,2417.0,1078.0,97.0,31137.0,8867.0,14106.0,528.0,32418.0,1410.0,464900.0,13710.0,14195.0,20576.0,649.0,13710.0,22814.0,1809.0,90220,0.11536114590358737,0.19402863485468727,0.5750443742656883,0.03154160186625194,0.9658330398027475,0.6602309525264252,4.131264775413712,0.07929341632331025
52119.0,32.7,64439.0,20316.0,8875.0,2133.0,282.0,20.0,32225.0,10250.0,9862.0,517.0,40890.0,1488.0,482400.0,12588.0,13031.0,22328.0,946.0,12588.0,24721.0,1911.0,90221,0.07556245151280062,0.17028338993457282,0.5046802321654744,0.0423683267646005,0.9660041439643926,0.7845507396534853,3.6088149641577063,0.07730269811091785
33021.0,31.1,68722.0,21833.0,5405.0,1640.0,465.0,41.0,20218.0,7485.0,7908.0,402.0,24153.0,1405.0,509400.0,8568.0,8911.0,13707.0,493.0,8568.0,15409.0,1460.0,90222,0.10614304085468394,0.1636837164228824,0.5600501852468287,0.03596702414824542,0.9615082482325216,0.7314436267829563,4.076037959667853,0.0947498215328704
32005.0,40.8,107870.0,67298.0,3481.0,7402.0,4097.0,955.0,23798.0,16780.0,2832.0,4521.0,9649.0,2300.0,984600.0,13290.0,14150.0,16653.0,397.0,13290.0,17812.0,881.0,90230,0.5233212875031515,0.10876425558506483,0.6467552083162282,0.023839548429712365,0.9392226148409893,0.3014841431026402,3.908333333333333,0.049461037502807094
