zip_code,competitor_count,avg_competitor_rating,median_competitor_rating,avg_review_count,total_reviews,avg_price_tier,open_count,market_saturation_score,opportunity_score
91367,6,3.85,4.550000000000001,89.0,534,1.5,6,4.62,0.212
91387,1,2.6,2.6,11.0,11,,1,0.52,1.613
91401,5,4.46,5.0,71.6,358,2.0,5,4.46,0.219
91402,8,4.2875,4.45,26.375,211,2.0,7,6.86,0.144
91403,9,4.222222222222222,4.3,103.77777777777777,934,3.0,9,7.6,0.13
91405,11,4.318181818181818,4.7,35.36363636363637,389,1.25,11,9.5,0.104
91406,15,4.0,4.3,87.2,1308,1.7142857142857142,15,12.0,0.083
91411,6,4.283333333333333,4.6,213.5,1281,2.0,6,5.14,0.191
91416,1,4.4,4.4,7.0,7,,1,0.88,1.02
91423,21,3.723809523809524,4.2,121.80952380952381,2558,2.0,21,15.64,0.064
91436,9,4.355555555555556,4.5,66.0,594,1.5,9,7.84,0.126
91497,1,3.6,3.6,170.0,170,2.0,1,0.72,1.22
91502,11,4.418181818181818,4.6,83.63636363636364,920,1.625,11,9.72,0.102
91504,7,4.385714285714286,4.4,104.85714285714286,734,2.0,7,6.14,0.16
91505,15,4.08,4.2,1040.5333333333333,15608,1.8,15,12.24,0.081
91506,6,4.266666666666667,4.35,97.0,582,2.0,6,5.12,0.192
91507,1,5.0,5.0,6.0,6,2.0,1,1.0,0.909
91601,12,4.533333333333333,4.95,57.583333333333336,691,1.7777777777777777,12,10.88,0.091
91602,5,4.3,4.5,139.8,699,1.5,5,4.3,0.227
91604,24,4.125,4.6,95.5,2292,2.25,24,19.8,0.05
91605,14,4.807142857142857,5.0,28.714285714285715,402,1.1666666666666667,14,13.46,0.074
91606,11,4.245454545454546,4.2,61.81818181818182,680,1.5555555555555556,11,9.34,0.106
91607,13,4.115384615384615,4.4,99.76923076923077,1297,1.5555555555555556,13,10.7,0.093
91706,2,4.7,4.7,23.5,47,1.0,2,1.88,0.505
91710,2,4.95,4.95,57.5,115,,2,1.98,0.481
91711,2,4.95,4.95,30.5,61,3.0,2,1.98,0.481
91724,1,5.0,5.0,5.0,5,,1,1.0,0.909
91730,1,3.5,3.5,309.0,309,2.0,1,0.7,1.25
91731,8,4.1125,4.35,27.5,220,1.4,8,6.58,0.15
91732,4,4.325,4.5,40.25,161,2.0,4,3.46,0.281
91733,10,4.55,4.8,55.8,558,1.5714285714285714,10,9.1,0.109
91739,3,3.033333333333333,2.6,163.33333333333334,490,1.5,3,1.82,0.521
91744,1,3.4,3.4,79.0,79,1.0,1,0.68,1.282
91748,2,5.0,5.0,7.0,14,,2,2.0,0.476
91752,8,4.5875,4.95,68.875,551,2.0,8,7.34,0.134
91754,6,3.85,3.95,132.16666666666666,793,1.75,6,4.62,0.212
91755,2,4.75,4.75,2.5,5,3.0,2,1.9,0.5
91761,1,4.6,4.6,9.0,9,,1,0.92,0.98
91764,1,3.6,3.6,31.0,31,1.0,1,0.72,1.22
91766,1,5.0,5.0,4.0,4,,1,1.0,0.909
91767,2,4.9,4.9,98.0,196,2.0,2,1.96,0.485
91770,9,4.366666666666666,4.8,36.666666666666664,330,1.4,9,7.86,0.126
91775,5,4.36,4.5,93.4,467,2.0,5,4.36,0.224
91776,8,4.3125,4.6,215.125,1721,2.2857142857142856,8,6.9,0.143
91780,4,3.525,3.5999999999999996,95.0,380,1.25,4,2.82,0.342
91786,1,5.0,5.0,16.0,16,,1,1.0,0.909
91801,8,3.9875,3.85,131.125,1049,1.8,8,6.38,0.154
91803,2,5.0,5.0,8.0,16,2.0,2,2.0,0.476
91902,7,4.114285714285715,4.4,73.0,511,1.5,7,5.76,0.171
91910,19,4.321052631578947,4.6,40.89473684210526,777,1.9,19,16.42,0.061
91911,24,4.345833333333333,4.55,52.416666666666664,1258,1.3846153846153846,24,20.86,0.048
91912,1,4.4,4.4,5.0,5,1.0,1,0.88,1.02
